Entity,Year,new_planting_conifers,new_planting_broadleaves,new_planting_total,restocking_conifers,restocking_broadleaves,restocking_total
England,2013-14,0,3.3,3.3,2.6,1.9,4.5
England,2014-15,0.1,2.3,2.4,2,4.4,6.4
England,2015-16,0,0.8,0.8,2.2,1.1,3.3
England,2016-17,0.1,1,1.1,2,1,3
England,2017-18,0.2,1.3,1.5,1.6,0.5,2
Wales,2013-14,0.1,0.8,0.9,1.4,0.8,2.3
Wales,2014-15,0,0.1,0.1,1.3,0.6,1.9
Wales,2015-16,0,0.1,0.1,1.2,0.6,1.8
Wales,2016-17,0.2,0.2,0.4,1.1,0.5,1.7
Wales,2017-18,0.1,0.1,0.2,1,0.7,1.7
Scotland,2013-14,2,6.3,8.3,6.5,1.4,7.9
Scotland,2014-15,2.5,5.1,7.6,6.6,1.9,8.5
Scotland,2015-16,1.9,2.7,4.6,6,1.8,7.8
Scotland,2016-17,3.2,1.5,4.8,9.1,2,11.1
Scotland,2017-18,4.7,2.5,7.1,8.1,1.5,9.7
Northern_Ireland,2013-14,0,0.3,0.3,1,0.1,1.2
Northern_Ireland,2014-15,0,0.2,0.2,0.9,0.1,1
Northern_Ireland,2015-16,0,0.1,0.1,0.7,0.1,0.8
Northern_Ireland,2016-17,0.1,0.2,0.2,1.1,0.2,1.3
Northern_Ireland,2017-18,0.1,0.2,0.2,0.9,0.1,0.9
UK,2013-14,2.2,10.7,12.9,11.6,4.2,15.8
UK,2014-15,2.6,7.7,10.3,10.8,7,17.8
UK,2015-16,1.9,3.7,5.6,10.1,3.6,13.7
UK,2016-17,3.6,3,6.5,13.4,3.7,17.1
UK,2017-18,5.1,3.9,9.1,11.6,2.8,14.3
